Sample ID,Comment,Section,Applied limit,Antenna Position,Frequency (MHz),S R,Mesure (dBµV/m),Detector type,Limit Peak (dBµV/m),Margin (dB),Polarization,Correction (dB),Conformity,Overtaking (dB),Limite (dBµV/m),Configuration,Limit Q-Peak (dBµV/m),Limit Avg (dBµV/m)
CRE2-2025-TP002-03,-,Peak,RNDS-C-00517 V4.0,1 (X),1.162,1.0,33.19,Peak,64.0,30,Vertical,9.91,OK,-,-,ER_In front of harness RBW 9kHz,,
CRE2-2025-TP002-03,-,Q-Peak,RNDS-C-00517 V4.0,1 (X),1.162,1.0,31.17,Q-Peak,,19,Vertical,9.91,OK,-,-,ER_In front of harness RBW 9kHz,51.0,
CRE2-2025-TP002-03,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),27.3475,2.0,6.17,CISPR.AVG,,21,Vertical,10.29,OK,-,-,ER_In front of harness RBW 9kHz,,28.0
CRE2-2025-TP002-03,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),1175.908,1.0,-1.22,CISPR.AVG,,5,Vertical,20.75,OK,-,-,ER_In front of harness RBW 9kHz_GNSS,,4.0
CRE2-2025-TP002-03,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),1599.87325,1.0,-0.66,CISPR.AVG,,4,Vertical,21.58,OK,-,-,ER_In front of DUT RBW 9kHz_GNSS,,4.0
CRE2-2025-TP002-03,-,Peak,RNDS-C-00517 V4.0,1 (X),432.56,3.0,19.36,Peak,25.0,5,Vertical,-10.19,OK,-,-,ER_In front of harness RBW 120kHz,,
CRE2-2025-TP002-03,-,Q-Peak,RNDS-C-00517 V4.0,1 (X),162.96,2.0,22.47,Q-Peak,,2,Horizontal,-14.67,OK,-,-,ER_In front of harness RBW 120kHz,25.0,
CRE2-2025-TP002-03,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),164.25,2.0,17.89,CISPR.AVG,,0,Horizontal,-14.62,OK,-,-,ER_In front of harness RBW 120kHz,,18.0
CRE2-2025-TP002-03,-,Peak,RNDS-C-00517 V4.0,1 (X),238.25,3.0,37.64,Peak,32.0,6,Vertical,-14.3,OK,-,-,ER_In front of harness RBW 1MHz,,
CRE2-2025-TP002-03,-,CISPR.AVG,RNDS-C-00517 V4.0,1 (X),514.5,3.0,32.23,CISPR.AVG,,5,Vertical,-8.37,OK,-,-,ER_In front of harness RBW 1MHz,,28.0
CRE2-2025-TP002-03,-,Peak,RNDS-C-00517 V4.0,2 (X),432.68,3.0,20.94,Peak,25.0,4,Vertical,-10.18,OK,-,-,ER_In front of DUT RBW 120kHz,,
CRE2-2025-TP002-03,-,Q-Peak,RNDS-C-00517 V4.0,2 (X),166.77,1.0,27.74,Q-Peak,,3,Vertical,-14.52,OK,-,-,ER_In front of DUT RBW 120kHz,25.0,
CRE2-2025-TP002-03,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),96.42,1.0,17.5,CISPR.AVG,,6,Vertical,-18.25,OK,-,-,ER_In front of DUT RBW 120kHz,,12.0
CRE2-2025-TP002-03,-,Peak,RNDS-C-00517 V4.0,2 (X),244.0,3.0,44.83,Peak,32.0,13,Vertical,-14.47,OK,-,-,ER_In front of DUT RBW 1MHz,,
CRE2-2025-TP002-03,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),244.25,3.0,33.58,CISPR.AVG,,12,Vertical,-14.48,OK,-,-,ER_In front of DUT RBW 1MHz,,22.0
CRE2-2025-TP002-02,-,Peak,RNDS-C-00517 V4.0,2 (X),432.68,3.0,20.94,Peak,25.0,4,Vertical,-10.18,OK,-,-,ER_In front of DUT RBW 120kHz,,
CRE2-2025-TP002-02,-,Q-Peak,RNDS-C-00517 V4.0,2 (X),166.77,1.0,27.74,Q-Peak,,3,Vertical,-14.52,OK,-,-,ER_In front of DUT RBW 120kHz,25.0,
CRE2-2025-TP002-02,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),96.42,1.0,17.5,CISPR.AVG,,6,Vertical,-18.25,OK,-,-,ER_In front of DUT RBW 120kHz,,12.0
CRE2-2025-TP002-02,-,Peak,RNDS-C-00517 V4.0,2 (X),244.0,3.0,44.83,Peak,32.0,13,Vertical,-14.47,OK,-,-,ER_In front of DUT RBW 1MHz,,
CRE2-2025-TP002-02,-,CISPR.AVG,RNDS-C-00517 V4.0,2 (X),244.25,3.0,33.58,CISPR.AVG,,12,Vertical,-14.48,OK,-,-,ER_In front of DUT RBW 1MHz,,22.0
